emisor,fecha,pasivo_total,pasivo_corriente,pasivo_no_corriente,patrimonio,activo_total,ingreso_neto,eps
Banco de Bogota,2017-03-31,127254018941.0,,,16651450459.0,143905469400.0,635968700000.0,1995.0
Banco de Bogota,2017-06-30,128612376627.0,,,17398335294.0,146010711921.0,1122312201.0,1393.0
Banco de Bogota,2017-09-30,125558492624.0,,,17736133132.0,143294625756.0,3822332630.0,1678.0
Banco de Bogota,2017-12-31,131194904889.0,256212997.15,706530874.13,18210220853.0,149405125742.0,4309389680.0,1165.0
Banco de Bogota,2018-03-31,126909139807.0,,,16825469434.0,143734609241.0,968764529.0,1841.0
Banco de Bogota,2018-06-30,128038074464.0,,,17558717315.0,145596791779.0,1122312201.0,1634.0
Banco de Bogota,2018-09-30,130180024636.0,,,18501048266.0,148681072902.0,1678255962.0,2522.0
Banco de Bogota,2018-12-31,143634734144.0,37062091.0,,19667774788.0,163302508932.0,2937262077.0,2869.0
Banco de Bogota,2019-03-31,141314273558.0,,,19110664155.0,160424937713.0,697053235.0,2104.0
Banco de Bogota,2019-06-30,143202463454.0,,,20180496521.0,163382959975.0,813165623.0,2185.0
Banco de Bogota,2019-09-30,151947840035.0,,,21313491038.0,173261331073.0,-1278827060.0,1880.0
Banco de Bogota,2019-12-31,153159578323.0,58700943.0,,21860001562.0,175019579885.0,1569397794.0,2181.0
Banco de Bogota,2020-03-31,185596908192.0,44108701.0,,21773915109.0,207370823301.0,738769604.0,2230.0
Banco de Bogota,2020-06-30,195495789347.0,41954014.0,,22514454762.0,218010244109.0,454363592.0,1171.0
Banco de Bogota,2020-09-30,196624127981.0,46820196.0,,23250144926.0,219874272907.0,631748258.0,1602.0
Banco de Bogota,2020-12-31,185769783622.0,47627416.0,,22498600501.0,208268384123.0,2197907609.0,1633.0
Banco de Bogota,2021-03-31,195449343251.0,70848131.0,,22282588641.0,217731931892.0,738769604.0,2143.0
Banco de Bogota,2021-06-30,197889640299.0,80700907.0,,23532840049.0,221422480348.0,1573237607.0,2606.0
Banco de Bogota,2021-09-30,199840558599.0,89882493.0,,24544378385.0,224384936984.0,1657143080.0,6074.0
Banco de Bogota,2021-12-31,206995924424.0,111255750.0,,25338970395.0,232334894819.0,4356085953.0,2326.0
Bancolombia,2017-03-31,174691583347.0,,,22050368575.0,196741951922.0,608754110.0,649.0
Bancolombia,2017-06-30,180621255579.0,,,23083111158.0,203704366737.0,1262292849.0,694.0
Bancolombia,2017-09-30,180731145410.0,,,23361731059.0,204092876469.0,1713098708.0,1827.0
Bancolombia,2017-12-31,179478662657.0,1992599362.0,385833470.0,24429548810.0,203908211467.0,2865328664.0,953.0
Bancolombia,2018-03-31,177755928272.0,,,23189643016.0,200945571288.0,632053077.0,558.0
Bancolombia,2018-06-30,180528144938.0,,,24025200763.0,204553345701.0,1113476243.0,630.0
Bancolombia,2018-09-30,181788315390.0,,,24867012573.0,206655327963.0,1713098708.0,484.0
