emisor,fecha,pasivo_total,pasivo_corriente,pasivo_no_corriente,patrimonio,activo_total,ingreso_neto,eps,activo_corriente,caja,ingresos,ebit,costos_financieros,depreciacion,ebitda,deuda_ebitda,ebit_intereses,pasivo_patrimonio,pasivo_activo,margen_ebitda,margen_neto,roa,razon_corriente,caja_activos,PD,PD_pct,margen_ebitda_pct,margen_neto_pct,caja_activos_pct
Ecopetrol,2017-03-31,75081143119.3,17080957730.7,58000185388.6,45416400908.9,120497544028.2,1072415376.7,2.15e-05,25416907800.6,8164710619.9,13371443236.0,3298837859.9,834066250.2,41423960.1,3340261820.0,22.477622164151192,3.955126896825012,1.6531724578947595,0.6230927254561204,0.24980563137769582,0.08020191670953895,0.008899894062977939,1.4880259175934616,0.06775831562167953,1.180730343338456e-262,1.180730343338456e-260,24.980563137769582,8.020191670953896,6.775831562167952
Ecopetrol,2017-06-30,68715955903.7,14512682789.2,54203273114.5,46978412621.6,115694368525.3,2190717445.0,5.33e-05,19008811616.9,6246348344.1,26522406696.2,6566541498.6,1503147188.0,75393093.6,6641934592.200001,10.345774254446443,4.368528611850086,1.4627134479232147,0.5939438261307699,0.2504272959946589,0.08259874264404049,0.018935385299423062,1.3098068698260197,0.05399008113980976,1.5869907059693076e-290,1.5869907059693076e-288,25.04272959946589,8.259874264404049,5.399008113980976
Ecopetrol,2017-09-30,68366119899.8,16151645327.0,52214474572.8,47902341603.7,116268461503.5,-376526.0,7.77e-05,22075019952.3,7852252176.0,39847202537.0,9889337375.4,2715475434.3,6306934185.0,16196271560.4,4.221102347218952,3.6418438003469875,1.4271978698953491,0.5880022752149515,0.4064594382845571,-9.449245518562512e-06,-3.2384190444342084e-06,1.3667350604460187,0.06753553005226293,3.5870933360181335e-42,3.5870933360181334e-40,40.645943828455714,-0.0009449245518562512,6.753553005226292
Ecopetrol,2017-12-31,70893227412.6,16846610698.2,54046616714.4,49781305417.7,120674532830.3,6620411850.5,0.000161,23224016260.4,7945885404.6,55210223748.0,15504594906.9,3665389660.3,8117183280.0,23621778186.9,3.0011808108466393,4.229999084362288,1.424093378382833,0.5874746373561226,0.4278515206661466,0.11991278790533476,0.05486171518732982,1.3785571873445976,0.06584558662244001,0.0,0.0,42.785152066614664,11.991278790533476,6.584558662244001
Ecopetrol,2018-03-31,,,,,,2614803844.1,6.36e-05,,,14642612132.0,5180033795.9,865146114.6,1770603553.0,6950637348.9,,5.987466982146693,,,0.47468561526054903,0.1785749578373111,,,,,,47.468561526054906,17.85749578373111,
Ecopetrol,2018-06-30,69345430509.9,18857029562.6,50488400947.3,52237740466.9,121583170976.8,6134201057.0,0.0001492,27248862751.2,6337481860.7,31629700794.0,11564295878.7,1764682489.6,1227203654.0,12791499532.7,5.421211980083051,6.55318786628935,1.3274967464153649,0.5703538569752569,0.40441418070974877,0.19393800456574753,0.05045271485944797,1.4450241306957436,0.05212466338708415,0.0,0.0,40.441418070974876,19.393800456574752,5.212466338708415
Ecopetrol,2018-09-30,68712089388.6,21942867936.3,46769221452.3,55169874921.5,123881964310.1,681855660.5,0.0002167,29287963912.5,7120568961.9,49505657077.0,17216890909.3,2627871542.3,1864455125.0,19081346034.3,3.6010085066894866,6.551648599318979,1.2454639327417167,0.5546577322313088,0.3854376885579217,0.013773287756578139,0.005504075305047523,1.3347372821785541,0.05747865721660554,1.0995346413542901e-197,1.09953464135429e-195,38.54376885579217,1.3773287756578139,5.747865721660554
Ecopetrol,2018-12-31,66936182263.9,17824622248.8,49111560015.1,59304438015.8,126240620279.7,11556405128.6,0.0002811,27030612680.9,6311743956.2,67819935324.7,21711359083.7,3511814052.8,85156043.2,21796515126.9,3.070957989118693,6.182377186625056,1.1286875738720723,0.5302269754029687,0.3213880258443968,0.17039835076916038,0.09154268335338904,1.5164760466505691,0.049997726106031766,1.4838332240800045e-224,1.4838332240800044e-222,32.13880258443968,17.039835076916038,4.999772610603177
Ecopetrol,2019-03-31,75507150091.0,26783928348.0,48723221743.0,52667243391.0,128174393482.0,2817135053.0,64.0,30051489614.0,8937863283.0,15942619700.0,5180033796.0,865146115.0,18364901.0,5198398697.0,14.525078681359172,5.987466979493978,1.4336643657317933,0.589096995427591,0.3260692906699644,0.17670465118101011,0.021978922438947376,1.1219970880874908,0.06973205053047649,0.00025347468214752657,0.025347468214752658,32.606929066996436,17.67046511810101,6.973205053047648
Ecopetrol,2019-06-30,68183516919.0,19892652282.0,48290864637.0,56934296645.0,125117813564.0,6231731799.0,86.0,25029518387.0,5524120778.0,34501245691.0,6384262083.0,1764682490.0,48908174.0,6433170257.0,10.598742796338835,3.617796470004074,1.197582493099753,0.544954511086648,0.18646197052178198,0.18062338545143053,0.049806910954468986,1.2582293216700986,0.04415135319779476,1.74846830168701e-05,0.00174846830168701,18.6461970521782,18.062338545143053,4.415135319779476
